Top,drug,name,avg_prob
1,DB00806,PENTOXIFYLLINE,[0.9548192]
2,DB00975,DIPYRIDAMOLE,[0.94675434]
3,DB00908,QUINIDINE,[0.9168316]
4,DB01115,NIFEDIPINE,[0.9064121]
5,DB00909,ZONISAMIDE,[0.90569276]
6,DB06595,MIDOSTAURIN,[0.902404]
7,DB00281,LIDOCAINE,[0.8994808]
8,DB15357,XANOMELINE,[0.8990223]
9,DB00754,ETHOTOIN,[0.89692557]
10,DB00622,NICARDIPINE,[0.8945119]
11,DB00555,LAMOTRIGINE,[0.8942979]
12,DB00296,ROPIVACAINE,[0.89266646]
13,DB01236,SEVOFLURANE,[0.889087]
14,DB04855,DRONEDARONE,[0.88558835]
15,DB09119,ESLICARBAZEPINE ACETATE,[0.8842759]
16,DB12209,TIRASEMTIV,[0.87950003]
17,DB00280,DISOPYRAMIDE,[0.8759267]
18,DB00907,COCAINE,[0.8730329]
19,DB00776,OXCARBAZEPINE,[0.8727201]
20,DB12944,PHLOROGLUCINOL,[0.8726274]
21,DB12745,GSK-690693,[0.8726085]
22,DB00381,AMLODIPINE,[0.86854076]
23,DB00270,ISRADIPINE,[0.8650216]
24,DB01023,FELODIPINE,[0.8640199]
25,DB01068,CLONAZEPAM,[0.8628726]
26,DB00401,NISOLDIPINE,[0.86155367]
27,DB00393,NIMODIPINE,[0.8602315]
28,DB00343,DILTIAZEM,[0.8583225]
29,DB00661,VERAPAMIL,[0.8536394]
30,DB12105,IMAGABALIN,[0.8479916]
31,DB01083,ORLISTAT,[0.8435341]
32,DB01148,FLAVOXATE,[0.83949536]
33,DB00404,ALPRAZOLAM,[0.8369117]
34,DB06586,CETILISTAT,[0.83305585]
35,DB01244,BEPRIDIL,[0.8272584]
36,DB00683,MIDAZOLAM,[0.81969035]
37,DB12032,ATAGABALIN,[0.8196436]
38,DB06195,SELICICLIB,[0.814438]
39,DB15499,CERDULATINIB,[0.81310904]
40,DB05087,GANAXOLONE,[0.8069676]
41,DB06119,CENOBAMATE,[0.80394983]
42,DB00425,ZOLPIDEM,[0.80242425]
43,DB00331,METFORMIN,[0.79649407]
44,DB12010,FOSTAMATINIB,[0.7941473]
45,DB13725,TERODILINE,[0.7839384]
46,DB00818,PROPOFOL,[0.77337694]
47,DB12021,DINACICLIB,[0.76698464]
48,DB11859,BREXANOLONE,[0.7594972]
49,DB00349,CLOBAZAM,[0.75576764]
50,DB14770,LANRAPLENIB,[0.7525413]
51,DB08142,AT-7519,[0.75213885]
52,DB09053,IBRUTINIB,[0.7521211]
53,DB12121,ENTOSPLETINIB,[0.74889195]
54,DB00829,DIAZEPAM,[0.7410621]
55,DB01028,METHOXYFLURANE,[0.7391965]
56,DB12686,PHA-793887,[0.7333829]
57,DB00753,ISOFLURANE,[0.7159513]
58,DB06753,TRICLOFOS,[0.70432633]
59,DB00659,ACAMPROSATE,[0.6966129]
60,DB01189,DESFLURANE,[0.6926526]
61,DB00972,AZELASTINE,[0.68860966]
62,DB15327,ABIVERTINIB,[0.68239176]
63,DB00341,CETIRIZINE,[0.6703394]
64,DB00273,TOPIRAMATE,[0.66568124]
65,DB00292,ETOMIDATE,[0.6577662]
66,DB00557,HYDROXYZINE,[0.6561939]
67,DB00536,GUANIDINE,[0.65345913]
68,DB06645,ANAMORELIN,[0.64967525]
69,DB15035,ZANUBRUTINIB,[0.64798874]
70,DB00370,MIRTAZAPINE,[0.6428938]
71,DB03310,OXIGLUTATIONE,[0.6416843]
72,DB11893,AVAGACESTAT,[0.6373874]
73,DB00633,DEXMEDETOMIDINE,[0.63308764]
74,DB06282,LEVOCETIRIZINE,[0.6308134]
75,DB04455,BETAINE,[0.6294501]
76,DB13074,MACIMORELIN,[0.6279484]
77,DB12463,SEMAGACESTAT,[0.62769127]
78,DB12128,ULIMORELIN,[0.62254137]
79,DB12005,NIROGACESTAT,[0.621535]
80,DB14870,PF-5190457,[0.6179491]
81,DB15170,EVOBRUTINIB,[0.61359096]
82,DB11759,PEVONEDISTAT,[0.61196107]
83,DB06580,CELGOSIVIR,[0.60975957]
84,DB05289,TARENFLURBIL,[0.6085687]
85,DB00484,BRIMONIDINE,[0.6064628]
86,DB00794,PRIMIDONE,[0.6057797]
87,DB01246,METHYLPROMAZINE,[0.6047209]
88,DB11640,AMIFAMPRIDINE,[0.60049707]
89,DB00950,FEXOFENADINE,[0.5993728]
90,DB12563,MK0686,[0.59706944]
91,DB08329,SULTHIAME,[0.59619856]
92,DB00985,DIMENHYDRINATE,[0.59595406]
93,DB04878,VOGLIBOSE,[0.5920447]
94,DB06637,DALFAMPRIDINE,[0.5913125]
95,DB04944,ACADESINE,[0.584129]
96,DB00797,TOLAZOLINE,[0.5831329]
97,DB00768,OLOPATADINE,[0.57346624]
98,DB11986,ENTRECTINIB,[0.5730502]
99,DB01078,DESLANOSIDE,[0.5718342]
100,DB00262,CARMUSTINE,[0.5715461]
